id,nome,indirizzo,lat,lng,note
sr-mi,SR Elettrotecnica,Milano (MI),45.575,8.925,Prov. Milano (MI) | Installazione + manutenzione + pulizia | Tel: 351 3729093 | Email: info@srelettrotecnica.it | Tel+email verificati | https://www.srelettrotecnica.it
et-mi,Energy Team S.r.l.,Milano (MI),45.611,8.849,Prov. Milano (MI) | Installazione + manutenzione + pulizia | Tel: 0331 324959 | Email: (modulo sito) | Tel verificato; email da sito | https://www.energyteamimpianti.com
krk-mi,KRK Energy Service S.r.l.,Milano (MI),45.575,9.768,Prov. Milano (MI) | Installazione + manutenzione + pulizia + termografia | Tel: 0363 1591034 | Email: info@krkenergyservice.com | Tel+email verificati | https://www.krkenergyservice.com
er-mi,Elettrica Rogeno S.r.l.,Milano (MI),45.787,9.27,Prov. Milano (MI) | Installazione FV + accumulo + verifiche/manutenzione (pulizia da confermare; dal 1999) | Tel: 031 876147 | Email: info@elettricarogeno.it | Tel+email verificati | https://www.elettricarogeno.it
mos-mi,Gruppo Mossali,Milano (MI),45.575,9.918,"Prov. Milano (MI) | Installazione + manutenzione + pulizia moduli/inverter + termografia (sede Pontoglio BS, opera su MI) | Tel: 030 737097 | Email: info@gruppomossali.com | Tel+email verificati | https://www.gruppomossali.com"
mye-mi,Myenergy S.p.A.,Milano (MI),45.409,9.268,Prov. Milano (MI) | EPC/ESCo: progettazione + installazione + collaudo + manutenzione ord. (pulizia da confermare); San Donato Milanese | Tel: (form sito) | Email: (form sito) | Sede/dati verificati; contatti via form | https://www.myenergy.it
corm-mi,Corna Impianti S.r.l.,Milano (MI),45.658,9.652,Prov. Milano (MI) | Installazione + manutenzione + pulizia pannelli + taratura SPI + termografia (sede Stezzano BG) | Tel: 035 4540660 | Email: (form; social@corna.it su FB) | Tel verificato; email via form | https://www.corna.it
mer-mi,Elettromeccanica Merlotti S.r.l.,Milano (MI),45.542,8.887,Prov. Milano (MI) | Installazione + manutenzione impianti elettrici/FV/condizionamento/domotica (pulizia da confermare) | Tel: 0331 566867 | Email: (form sito) | Tel+fatturato+dip verificati; email via form | https://elettromerlotti.it
ems-mi,Emme Esse Solar,Milano (MI),45.523,9.334,Prov. Milano (MI) | Installazione + manutenzione + pulizia + monitoraggio (area Martesana) | Tel: 02 92108704 | Email: (modulo sito) | Tel verificato; email da sito | https://www.emmeessesolar.it
dis-mi,Dentro Il Sole S.r.l.,Milano (MI),45.532,9.403,Prov. Milano (MI) | Installazione FV + manutenzione/riparazione + coperture/amianto (pulizia da confermare) | Tel: 02 94435188 | Email: n.d. (no email pubblica) | Tel+fatturato verificati; nessun sito/email | 
eui-mi,D.M.L. Idee (Impianti FV),Milano (MI),45.553,9.288,Prov. Milano (MI) | Installazione FV + accumulo + sostituzione inverter + assistenza (pulizia da confermare); Brugherio. Sostituisce Euroimpianti | Tel: 039 2242708 | Email: info@dmlidee.com | Tel+email verificati | https://www.dmlidee.com
