id,nome,indirizzo,lat,lng
c440f0bf,"OMG Ghilardi (5.0) - 125,28 kWp",Ponte San Pietro (BG),45.70390,9.59280
31aa05b0,"OMG Ghilardi (NOLEGGIO) - 126,36 kWp",Ponte San Pietro (BG),45.70410,9.59300
bdc715af,"Carioni Spedizioni (100) - 99,84 kWp","Via Zara 2/4, Pioltello (MI)",45.50280,9.33310
f018a342,"GBR Solution - 125,76 kWp",Cusago (MI),45.44700,9.03860
9556d14d,"Plano Plast - 125,28 kWp",Casale di Scodosia (PD),45.16400,11.45400
b70e9d42,"Alpris (Magazzino) - 126,48 kWp",Bentivoglio (BO),44.63620,11.41800
d8641467,"Alpris (Uffici) - 126,48 kWp",Bentivoglio (BO),44.63640,11.41820
ea1d36a0,"Alpris (Liscate 50) - 74,74 kWp",Liscate (MI),45.48700,9.43600
337dc96b,"Alpris (Liscate 185) - 198,90 kWp",Liscate (MI),45.48720,9.43620
22dd4012,"Alpris (750) - 830,22 kWp",Liscate (MI),45.48740,9.43640
866a332d,"Alpris (839 Vignate) - 839,40 kWp",Vignate (MI),45.50100,9.37900
e35546f3,"Surgelo' - 589,84 kWp",Rende (CS),39.32900,16.18400
9811880e,"Rosetta Mauro - 10,78 kWp",Cassano allo Ionio (CS),39.78600,16.31800
7815fb06,"Maculan (110) - 110,09 kWp",Carre' (VI),45.73300,11.38700
6c401799,"Maculan (639) - 639,60 kWp",Carre' (VI),45.73320,11.38720
d2f59dc5,"Horeca - 148,80 kWp",Noicattaro (BA),41.03500,16.98700
3b5a9cd6,"Comat - 125,24 kWp",Ossona (MI),45.51700,8.90100
0afe076c,"Cuttaia Giorgia - 6,86 kWp",Vercelli (VC),45.32100,8.41800
841574b3,"Tiscione Massimo - 6,86 kWp",Vercelli (VC),45.32120,8.41820
ef4460fe,"Siro Simonatto - 18,72 kWp",Portogruaro (VE),45.77800,12.83800
acb4ee16,"Az. Agr. Lusiani & Martini - 13,45 kWp",Seggiano (GR),42.93000,11.54700
8e3df2ef,"Bertazzon F.lli - 28,42 kWp",Sernaglia della Battaglia (TV),45.88300,12.17400
7bd53b17,"Amato Caradonna - 6,43 kWp",Bisaccia (AV),41.01400,15.37600
5bff6dd3,"Francemili (Del Nigro) - 19,89 kWp",Cerreto Sannita (BN),41.28400,14.56100
cdcb1092,"Cesaro Stefano - 6,00 kWp",Teolo (PD),45.35400,11.67200
eb85a97a,"Pesavento Soc. Agr. - 180,09 kWp",Villaverla (VI),45.65800,11.44700
14698243,"Ecomec - 993,60 kWp",Ferrandina (MT),40.49600,16.45700
8b6a7dab,"EG Nergy - 1322,10 kWp",Avetrana (TA),40.35000,17.73300
498257b5,"Carioni Spedizioni (180) - 180,09 kWp",Novegro (Segrate) (MI),45.46600,9.28400
c2db523b,"Avantaggiato Davide - 7,28 kWp",Corigliano d'Otranto (LE),40.16200,18.25700
c48a84a2,"Fer.Ma (175) - 182,40 kWp",Galatina (LE),40.17300,18.17000
a0ea815f,"Fer.Ma (50) - 50,40 kWp",Galatina (LE),40.17320,18.17020
4192a831,"Skiona - 10,23 kWp",Corigliano d'Otranto (LE),40.16220,18.25720
b1ad0845,"Forno Pellegrino - 19,56 kWp",Bagnolo del Salento (LE),40.16400,18.31400
51e98f2c,"Pulimeno Luigi - 6,00 kWp",Corigliano d'Otranto (LE),40.16240,18.25740
36d0445e,"Coluccia Marco - 10,00 kWp",Melendugno (LE),40.27300,18.33600
2013219b,"De Aloisio Antonio - 3,00 kWp",Corigliano d'Otranto (LE),40.16260,18.25760
000dd9fc,"Elettra Snc - 6,00 kWp",Corigliano d'Otranto (LE),40.16280,18.25780
0a1a2da3,"Adriano Maniglio - 10,92 kWp",Castrignano de' Greci (LE),40.15000,18.29000
77c75dcb,"Avantaggiato Giovanni - 8,82 kWp",Corigliano d'Otranto (LE),40.16300,18.25800
83a2decc,"Giannachi Marco - 10,01 kWp",Corigliano d'Otranto (LE),40.16320,18.25820
9bc96ed9,"Capalbo Sergio - 6,30 kWp",Montalto Uffugo (CS),39.40400,16.15400
fa2f016f,"De Marco Massimo - 6,00 kWp",Casali del Manco (CS),39.32600,16.35800
acc589d6,"Gagliardi Stefania - 6,30 kWp",Montalto Uffugo (CS),39.40420,16.15420
946908d7,"Guido Salvatore - 6,30 kWp",Spezzano della Sila (CS),39.31200,16.33200
99a7919c,"Guido Teresa - 6,30 kWp",Spezzano della Sila (CS),39.31220,16.33220
da469618,"Martorano Vincenzo - 19,80 kWp",Cerchiara di Calabria (CS),39.83900,16.38700
6b236133,"Perri Raffaele - 6,30 kWp",Carolei (CS),39.26200,16.22000
a411bcd3,"Posteraro Mauro - 6,30 kWp",Lago (CS),39.16600,16.14500
865104c6,"Sollazzo Paolo - 4,50 kWp",Roggiano Gravina (CS),39.61700,16.16200
04894579,"Biraghi Marco - 15,66 kWp",Monza (MB),45.58400,9.27400
